# Goal Position: [0.5, 0.2, 0.4]
# Goal Orientation: [0.70709, 9.8864e-05, 0.70712, -2.1146e-05]
# Goal Tolerance: 0.01
# Angular Tolerance: 0.05
# Num Joints: 7
# Planning Method: task_space
time_s,pos_x_m,pos_y_m,pos_z_m,q_x,q_y,q_z,q_w,vel_x_m_s,vel_y_m_s,vel_z_m_s,ang_vel_x_rad_s,ang_vel_y_rad_s,ang_vel_z_rad_s,min_obstacle_clearance_m,att_force_x_N,att_force_y_N,att_force_z_N,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad,joint_vel_1_rad_s,joint_vel_2_rad_s,joint_vel_3_rad_s,joint_vel_4_rad_s,joint_vel_5_rad_s,joint_vel_6_rad_s,joint_vel_7_rad_s,joint_torque_1_N_m,joint_torque_2_N_m,joint_torque_3_N_m,joint_torque_4_N_m,joint_torque_5_N_m,joint_torque_6_N_m,joint_torque_7_N_m
0,0.227,0,0.2935,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0146182,0.0107093,0.00570271,0,0,0,inf,0.819,0.6,0.3195,0.000419876,3.86476e-05,0.000419853,0.000878708,0.000650659,-1.57001,-0.000121488,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.02,0.227292,0.000214186,0.293614,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0215756,0.0158063,0.00841685,0,0,0,inf,0.818123,0.599357,0.319158,0.00164879,-0.000468035,0.00164878,0.00207619,0.00310941,-1.5683,-0.000128053,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04,0.227724,0.000530312,0.293782,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0207736,0.0152188,0.008104,0,0,0,inf,0.816828,0.598409,0.318653,0.00280969,-0.000997872,0.00281007,0.00321953,0.00543171,-1.56663,-0.000141004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.228139,0.000834688,0.293944,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0215756,0.0158063,0.00841685,0,0,0,inf,0.815582,0.597496,0.318167,0.00401559,-0.00156268,0.00401678,0.00440697,0.00784477,-1.56488,-0.000161441,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.08,0.228571,0.00115081,0.294113,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0209474,0.0153461,0.00817181,0,0,0,inf,0.814287,0.596548,0.317662,0.00517065,-0.00209966,0.00517303,0.00556436,0.0101561,-1.56318,-0.000187847,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1,0.22899,0.00145774,0.294276,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0215756,0.0158063,0.00841685,0,0,0,inf,0.813031,0.595627,0.317171,0.00636603,-0.002655,0.00637006,0.00675862,0.0125492,-1.56144,-0.000222079,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.12,0.229421,0.00177386,0.294445,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0210723,0.0154376,0.0082205,0,0,0,inf,0.811736,0.594678,0.316666,0.00751558,-0.00317748,0.00752161,0.00793106,0.0148504,-1.55974,-0.000261907,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.14,0.229843,0.00208261,0.294609,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0215756,0.0158063,0.00841685,0,0,0,inf,0.810472,0.593752,0.316173,0.00868691,-0.00369986,0.00869538,0.00913631,0.0171958,-1.55801,-0.000309376,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.16,0.230274,0.00239874,0.294777,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0211657,0.015506,0.00825696,0,0,0,inf,0.809177,0.592804,0.315668,0.00984039,-0.00421586,0.00985167,0.0103205,0.0195065,-1.55631,-0.000362819,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.18,0.230698,0.00270886,0.294942,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0215756,0.0158063,0.00841685,0,0,0,inf,0.807907,0.591873,0.315173,0.0110035,-0.00472393,0.011018,0.0115334,0.0218366,-1.55459,-0.000423728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.2,0.231129,0.00302498,0.295111,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0212378,0.0155588,0.00828506,0,0,0,inf,0.806613,0.590925,0.314668,0.0121356,-0.00520738,0.0121537,0.0127327,0.024105,-1.55291,-0.000489893,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.22,0.231554,0.00333616,0.295277,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0215756,0.0158063,0.00841685,0,0,0,inf,0.805338,0.589992,0.31417,0.0132851,-0.00569254,0.0133072,0.0139547,0.026409,-1.55121,-0.00056381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.24,0.231985,0.00365229,0.295445,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0212946,0.0156004,0.00830722,0,0,0,inf,0.804044,0.589043,0.313665,0.0144219,-0.00617249,0.0144484,0.0151631,0.0286887,-1.54952,-0.000643561,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.26,0.232411,0.00396429,0.295611,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0215756,0.0158063,0.00841685,0,0,0,inf,0.802766,0.588107,0.313167,0.0155635,-0.00664439,0.0155948,0.0163924,0.0309783,-1.54782,-0.000730625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.28,0.232843,0.00428042,0.295779,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0213401,0.0156338,0.00832499,0,0,0,inf,0.801472,0.587159,0.312662,0.0166918,-0.00710789,0.0167281,0.0176114,0.0332419,-1.54614,-0.000823358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.3,0.23327,0.0045931,0.295946,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0215594,0.0157945,0.00841055,0,0,0,inf,0.800191,0.586221,0.312163,0.0178078,-0.00754627,0.0178496,0.0188507,0.035481,-1.54446,-0.000922352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.32,0.233701,0.00490899,0.296114,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0213746,0.0156591,0.00833845,0,0,0,inf,0.798898,0.585273,0.311658,0.0189234,-0.00798669,0.0189711,0.0200807,0.0377205,-1.5428,-0.00102758,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.34,0.234128,0.00522217,0.296281,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0215345,0.0157762,0.00840081,0,0,0,inf,0.797615,0.584334,0.311158,0.0200412,-0.00842127,0.020095,0.0213241,0.039965,-1.54112,-0.00113982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.36,0.234559,0.00553769,0.296449,0.70709,9.8864e-05,0.70712,-2.1146e-05,0.0213992,0.0156771,0.00834804,0,0,0,inf,0.796323,0.583387,0.310654,0.0211495,-0.00884835,0.0212099,0.0225629,0.0421914,-1.53946,-0.00125778,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
