# Goal Position: [0.5, 0.1, 0.5]
# Goal Orientation: [0.70709, 9.8864e-05, 0.70712, -2.1146e-05]
# Goal Tolerance: 0.01
# Angular Tolerance: 0.05
# Num Joints: 7
# Planning Method: task_space
time_s,pos_x_m,pos_y_m,pos_z_m,q_x,q_y,q_z,q_w,vel_x_m_s,vel_y_m_s,vel_z_m_s,ang_vel_x_rad_s,ang_vel_y_rad_s,ang_vel_z_rad_s,min_obstacle_clearance_m,att_force_x_N,att_force_y_N,att_force_z_N,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad,joint_vel_1_rad_s,joint_vel_2_rad_s,joint_vel_3_rad_s,joint_vel_4_rad_s,joint_vel_5_rad_s,joint_vel_6_rad_s,joint_vel_7_rad_s,joint_torque_1_N_m,joint_torque_2_N_m,joint_torque_3_N_m,joint_torque_4_N_m,joint_torque_5_N_m,joint_torque_6_N_m,joint_torque_7_N_m
0,0.22702,7.93461e-06,0.293511,0.707067,6.32915e-06,0.707146,-5.07329e-05,0.0145432,0.00532716,0.0110009,-2.59272e-05,1.03328e-05,1.33911e-05,0.30298,0.818939,0.299976,0.619468,0.000259464,-0.000450037,0.000259484,0.000896177,0.000428355,-1.56958,5.15833e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.227311,0.000114478,0.293731,0.707067,6.05112e-06,0.707146,-5.06442e-05,0.0214649,0.00786255,0.0162366,-2.59675e-05,1.03638e-05,1.3469e-05,0.302689,0.818066,0.299657,0.618808,0.000894172,-0.00231251,0.000894622,0.00188627,0.0017003,-1.56672,4.72492e-05,-0.0317354,0.0931238,-0.0317569,-0.0495048,-0.0635972,-0.142586,0.000216705,0,0,0,0,0,0,0
0.04,0.22774,0.000271729,0.294055,0.707067,5.77225e-06,0.707146,-5.05559e-05,0.020667,0.00757031,0.0156331,-2.6008e-05,1.03949e-05,1.35469e-05,0.30226,0.816779,0.299185,0.617834,0.00148029,-0.00414426,0.00148182,0.0028339,0.00287462,-1.56394,3.86784e-05,-0.029306,0.0915873,-0.0293598,-0.0473812,-0.0587162,-0.138975,0.000428539,0,0,0,0,0,0,0
0.06,0.228154,0.000423135,0.294368,0.707067,5.49254e-06,0.707146,-5.04678e-05,0.0214649,0.00786255,0.0162366,-2.60488e-05,1.04262e-05,1.3625e-05,0.301846,0.815539,0.298731,0.616896,0.00207609,-0.00599849,0.00207941,0.00382911,0.00406861,-1.5611,2.53662e-05,-0.0297902,0.0927117,-0.0298797,-0.0497605,-0.0596993,-0.142449,0.000665614,0,0,0,0,0,0,0
0.08,0.228583,0.000580386,0.294693,0.707067,5.212e-06,0.707146,-5.03799e-05,0.02084,0.00763365,0.0157639,-2.60898e-05,1.04575e-05,1.37032e-05,0.301417,0.814251,0.298259,0.615921,0.00265174,-0.00778841,0.00265747,0.00479944,0.00522295,-1.55834,8.11191e-06,-0.0287821,0.0894961,-0.0289029,-0.0485167,-0.0577172,-0.137995,0.000862712,0,0,0,0,0,0,0
0.1,0.229,0.000733059,0.295008,0.707067,4.93061e-06,0.707146,-5.02924e-05,0.0214649,0.00786255,0.0162366,-2.6131e-05,1.04889e-05,1.37815e-05,0.301001,0.813,0.297801,0.614976,0.00324632,-0.00963448,0.00325527,0.0058007,0.00641628,-1.55549,-1.4229e-05,-0.0297293,0.0923035,-0.0298898,-0.0500632,-0.0596666,-0.142365,0.00111705,0,0,0,0,0,0,0
0.12,0.229429,0.00089031,0.295333,0.707067,4.64838e-06,0.707147,-5.02051e-05,0.0209641,0.00767914,0.0158579,-2.61725e-05,1.05204e-05,1.386e-05,0.300572,0.811712,0.297329,0.614001,0.00382054,-0.0114058,0.00383329,0.00678654,0.00756938,-1.55273,-4.02499e-05,-0.0287108,0.0885666,-0.0289012,-0.0492921,-0.057655,-0.13784,0.00130105,0,0,0,0,0,0,0
0.14,0.229848,0.00104389,0.29565,0.707067,4.36529e-06,0.707147,-5.0118e-05,0.0214649,0.00786255,0.0162366,-2.62142e-05,1.0552e-05,1.39385e-05,0.300153,0.810455,0.296868,0.61305,0.00440591,-0.0131974,0.00442327,0.00780217,0.00874574,-1.54993,-7.12552e-05,-0.0292686,0.0895811,-0.0294987,-0.0507812,-0.0588177,-0.140336,0.00155027,0,0,0,0,0,0,0
0.16,0.230278,0.00120114,0.295975,0.707067,4.08136e-06,0.707147,-5.00312e-05,0.0210571,0.00771319,0.0159282,-2.62562e-05,1.05837e-05,1.40173e-05,0.299724,0.809167,0.296397,0.612076,0.00497658,-0.0149362,0.00499914,0.00880409,0.00989339,-1.54719,-0.00010588,-0.0285336,0.0869397,-0.0287937,-0.0500963,-0.0573825,-0.137005,0.00173126,0,0,0,0,0,0,0
0.18,0.230699,0.00135541,0.296293,0.707067,3.79657e-06,0.707147,-4.99447e-05,0.0214649,0.00786255,0.0162366,-2.62983e-05,1.06155e-05,1.40961e-05,0.299303,0.807903,0.295934,0.61112,0.00555704,-0.0166958,0.00558562,0.00982998,0.0110617,-1.5444,-0.000145537,-0.0290229,0.0879789,-0.029324,-0.0512941,-0.0584148,-0.139242,0.00198284,0,0,0,0,0,0,0
0.2,0.231128,0.00151266,0.296618,0.707067,3.51093e-06,0.707147,-4.98584e-05,0.0211288,0.00773944,0.0159824,-2.63408e-05,1.06474e-05,1.4175e-05,0.298875,0.806615,0.295462,0.610146,0.00612922,-0.0184332,0.00616447,0.010841,0.0122144,-1.54165,-0.000189004,-0.0286089,0.0868718,-0.0289424,-0.0505505,-0.0576368,-0.13741,0.00217335,0,0,0,0,0,0,0
0.22,0.231551,0.00166745,0.296938,0.707067,3.22443e-06,0.707147,-4.97724e-05,0.0214649,0.00786255,0.0162366,-2.63834e-05,1.06794e-05,1.42541e-05,0.298453,0.805348,0.294998,0.609187,0.00670562,-0.0201692,0.00674834,0.0118755,0.0133765,-1.53888,-0.000237292,-0.0288202,0.0868001,-0.0291937,-0.0517273,-0.0581057,-0.138499,0.00241439,0,0,0,0,0,0,0
0.24,0.23198,0.0018247,0.297262,0.707067,2.93707e-06,0.707147,-4.96867e-05,0.0211853,0.00776014,0.0160251,-2.64263e-05,1.07115e-05,1.43333e-05,0.298024,0.80406,0.294526,0.608213,0.00726925,-0.0218537,0.00732002,0.012904,0.0145138,-1.53617,-0.000288924,-0.0281814,0.0842233,-0.0285838,-0.051423,-0.0568609,-0.135602,0.0025816,0,0,0,0,0,0,0
0.26,0.232404,0.0019799,0.297583,0.707066,2.64885e-06,0.707147,-4.96012e-05,0.0214649,0.00786255,0.0162366,-2.64694e-05,1.07437e-05,1.44127e-05,0.297601,0.802789,0.29406,0.607251,0.00783994,-0.0235526,0.00789961,0.0139496,0.0156663,-1.53343,-0.000345563,-0.0285347,0.0849442,-0.0289797,-0.0522804,-0.0576296,-0.137184,0.00283193,0,0,0,0,0,0,0
0.28,0.232833,0.00213715,0.297908,0.707066,2.35976e-06,0.707147,-4.95159e-05,0.0212306,0.00777674,0.0160594,-2.65128e-05,1.07759e-05,1.44921e-05,0.297173,0.801501,0.293589,0.606277,0.00840441,-0.0252333,0.00847364,0.0149858,0.0168075,-1.53071,-0.000405924,-0.0282234,0.0840354,-0.0287014,-0.0518123,-0.0570594,-0.135819,0.00301806,0,0,0,0,0,0,0
0.3,0.233258,0.00229269,0.298229,0.707066,2.0698e-06,0.707147,-4.9431e-05,0.0214488,0.00785667,0.0162245,-2.65564e-05,1.08083e-05,1.45717e-05,0.296749,0.800227,0.293122,0.605313,0.00897059,-0.0269075,0.00905018,0.0160392,0.0179532,-1.52798,-0.000470917,-0.0283091,0.0837088,-0.0288273,-0.052667,-0.057283,-0.136335,0.00324965,0,0,0,0,0,0,0
0.32,0.233687,0.00244982,0.298553,0.707066,1.77897e-06,0.707147,-4.93462e-05,0.0212649,0.00778931,0.0160854,-2.66003e-05,1.08408e-05,1.46515e-05,0.296321,0.79894,0.292651,0.60434,0.00952574,-0.0285337,0.00961626,0.0170917,0.0190774,-1.52531,-0.000539066,-0.0277572,0.0813133,-0.0283037,-0.0526247,-0.0562123,-0.133876,0.00340744,0,0,0,0,0,0,0
0.34,0.234112,0.00260561,0.298875,0.707066,1.48726e-06,0.707147,-4.92618e-05,0.021424,0.00784757,0.0162057,-2.66443e-05,1.08733e-05,1.47313e-05,0.295897,0.797664,0.292183,0.603375,0.0100855,-0.0301695,0.0101878,0.0181546,0.0202123,-1.52261,-0.00061204,-0.0279894,0.0817892,-0.028579,-0.0531469,-0.0567454,-0.134881,0.00364872,0,0,0,0,0,0,0
0.36,0.23454,0.00276256,0.299199,0.707066,1.19468e-06,0.707147,-4.91775e-05,0.0212894,0.00779828,0.0161039,-2.66887e-05,1.0906e-05,1.48113e-05,0.295469,0.796379,0.291712,0.602403,0.010641,-0.0317909,0.0107558,0.0192137,0.0213398,-1.51993,-0.000688757,-0.0277751,0.0810697,-0.0283991,-0.0529532,-0.0563723,-0.133974,0.00383581,0,0,0,0,0,0,0
