# Goal Position: [0.5, 0.1, 0.5]
# Goal Orientation: [0.70709, 9.8864e-05, 0.70712, -2.1146e-05]
# Goal Tolerance: 0.01
# Angular Tolerance: 0.05
# Num Joints: 7
# Planning Method: task_space
time_s,pos_x_m,pos_y_m,pos_z_m,q_x,q_y,q_z,q_w,vel_x_m_s,vel_y_m_s,vel_z_m_s,ang_vel_x_rad_s,ang_vel_y_rad_s,ang_vel_z_rad_s,min_obstacle_clearance_m,att_force_x_N,att_force_y_N,att_force_z_N,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad,joint_vel_1_rad_s,joint_vel_2_rad_s,joint_vel_3_rad_s,joint_vel_4_rad_s,joint_vel_5_rad_s,joint_vel_6_rad_s,joint_vel_7_rad_s,joint_torque_1_N_m,joint_torque_2_N_m,joint_torque_3_N_m,joint_torque_4_N_m,joint_torque_5_N_m,joint_torque_6_N_m,joint_torque_7_N_m
0,0.227006,4.22008e-05,0.293482,0.707158,5.1754e-05,0.707055,-0.000109704,0.0145432,0.00532507,0.0110019,-2.87639e-05,-2.82661e-05,-8.74836e-06,inf,0,0,0,0.000338826,-0.000472231,0.000338845,0.0007961,0.000439626,-1.5694,7.03834e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.227297,0.000148702,0.293702,0.707158,5.16126e-05,0.707055,-0.000109439,0.020745,0.00759587,0.0156935,-2.87378e-05,-2.8351e-05,-8.66211e-06,inf,0,0,0,0.000953506,-0.0022984,0.000953946,0.00174771,0.00167158,-1.56662,6.6043e-05,-0.030734,0.0913082,-0.0307551,-0.0475807,-0.0615978,-0.138908,0.000217023,0,0,0,0,0,0,0
0.04,0.227712,0.000300619,0.294016,0.707159,5.14706e-05,0.707055,-0.000109175,0.0213086,0.00780223,0.0161198,-2.87119e-05,-2.84362e-05,-8.57594e-06,inf,0,0,0,0.00155171,-0.00415606,0.00155325,0.00273021,0.0028699,-1.56378,5.71419e-05,-0.0299104,0.0928834,-0.0299652,-0.0491248,-0.0599158,-0.142024,0.000445055,0,0,0,0,0,0,0
0.06,0.228138,0.000456664,0.294338,0.707159,5.13283e-05,0.707055,-0.000108911,0.0213502,0.00781747,0.0161513,-2.86863e-05,-2.85216e-05,-8.48984e-06,inf,0,0,0,0.00214627,-0.00601528,0.0021496,0.00371732,0.00406155,-1.56093,4.3688e-05,-0.0297277,0.0929609,-0.0298174,-0.0493557,-0.0595825,-0.142345,0.000672691,0,0,0,0,0,0,0
0.08,0.228565,0.000613013,0.294661,0.707159,5.11856e-05,0.707054,-0.000108648,0.0213532,0.00781857,0.0161536,-2.86609e-05,-2.86073e-05,-8.40382e-06,inf,0,0,0,0.0027382,-0.00786297,0.00274403,0.00470901,0.00524872,-1.55809,2.57164e-05,-0.0295964,0.0923842,-0.0297215,-0.0495845,-0.0593587,-0.142001,0.000898583,0,0,0,0,0,0,0
0.1,0.228992,0.000769385,0.294984,0.707159,5.10424e-05,0.707054,-0.000108386,0.0213534,0.00781865,0.0161538,-2.86358e-05,-2.86932e-05,-8.31787e-06,inf,0,0,0,0.0033229,-0.00966929,0.00333192,0.00571048,0.00642201,-1.55528,3.41947e-06,-0.0292354,0.090316,-0.0293946,-0.0500733,-0.0586645,-0.140397,0.00111485,0,0,0,0,0,0,0
0.12,0.22942,0.000925758,0.295307,0.707159,5.08987e-05,0.707054,-0.000108125,0.0213534,0.00781866,0.0161538,-2.86109e-05,-2.87794e-05,-8.232e-06,inf,0,0,0,0.00390907,-0.011479,0.00392199,0.0067136,0.00759925,-1.55247,-2.34121e-05,-0.0293082,0.0904878,-0.0295037,-0.0501561,-0.058862,-0.140668,0.00134158,0,0,0,0,0,0,0
0.14,0.229847,0.00108213,0.29563,0.70716,5.07547e-05,0.707054,-0.000107864,0.0213535,0.00781866,0.0161538,-2.85864e-05,-2.88659e-05,-8.14621e-06,inf,0,0,0,0.00449331,-0.0132776,0.00451086,0.007721,0.00877353,-1.54966,-5.46708e-05,-0.029212,0.0899272,-0.0294434,-0.05037,-0.058714,-0.140325,0.00156294,0,0,0,0,0,0,0
0.16,0.230274,0.0012385,0.295953,0.70716,5.06102e-05,0.707054,-0.000107604,0.0213535,0.00781866,0.0161538,-2.8562e-05,-2.89526e-05,-8.06049e-06,inf,0,0,0,0.0050751,-0.0150611,0.005098,0.00873335,0.0099438,-1.54687,-9.0304e-05,-0.0290896,0.0891774,-0.0293568,-0.0506174,-0.0585134,-0.139821,0.00178166,0,0,0,0,0,0,0
0.18,0.230701,0.00139488,0.296276,0.70716,5.04653e-05,0.707053,-0.000107345,0.0213535,0.00781866,0.0161538,-2.85379e-05,-2.90396e-05,-7.97484e-06,inf,0,0,0,0.00564956,-0.0168026,0.00567847,0.00975554,0.0111,-1.5441,-0.000129999,-0.028723,0.0870721,-0.0290236,-0.0511093,-0.0578108,-0.138181,0.00198472,0,0,0,0,0,0,0
0.2,0.231128,0.00155125,0.296599,0.70716,5.03199e-05,0.707053,-0.000107087,0.0213535,0.00781866,0.0161538,-2.85141e-05,-2.91268e-05,-7.88926e-06,inf,0,0,0,0.00622554,-0.0185475,0.00626122,0.0107793,0.0122604,-1.54133,-0.000174179,-0.0287992,0.0872476,-0.0291375,-0.0511877,-0.0580211,-0.138451,0.00220904,0,0,0,0,0,0,0
