grid_x,grid_y,grid_z,vel_x,vel_y,vel_z
-5,-5,0,5,5,0
-5,-4,0,5,4,0
-5,-3,0,5,3,0
-5,-2,0,5,2,0
-5,-1,0,5,1,0
-5,0,0,5,0,0
-5,1,0,5,-1,0
-5,2,0,5,-2,0
-5,3,0,5,-3,0
-5,4,0,5,-4,0
-5,5,0,5,-5,0
-4,-5,0,4,5,0
-4,-4,0,4,4,0
-4,-3,0,4,3,0
-4,-2,0,4.32941,2.13176,0
-4,-1,0,4.32,1,0
-4,0,0,4.32941,-0.131764,0
-4,1,0,4,-1,0
-4,2,0,4,-2,0
-4,3,0,4,-3,0
-4,4,0,4,-4,0
-4,5,0,4,-5,0
-3,-5,0,3,5,0
-3,-4,0,3,4,0
-3,-3,0,3.192,3.256,0
-3,-2,0,2.71992,1.81328,0
-3,0,0,2.71992,0.186721,0
-3,1,0,3.192,-1.256,0
-3,2,0,2.01235,-2.98765,-0.493827
-3,3,0,-2.64458,-3,-2.82229
-3,4,0,2.01235,-3.01235,-0.493827
-3,5,0,3,-5,0
-2,-5,0,2,5,0
-2,-4,0,2,4,0
-2,-3,0,2.01704,3.06816,0
-2,1,0,2.01704,-1.06816,0
-2,2,0,2,-7.64458,-2.82229
-2,4,0,2,1.64458,-2.82229
-2,5,0,2,-5,0
-1,-5,0,1,5,0
-1,-4,0,1,4,0
-1,-3,0,0.982961,3.06816,0
-1,1,0,0.982961,-1.06816,0
-1,2,0,1.98765,-2.98765,-0.493827
-1,3,0,6.64458,-3,-2.82229
-1,4,0,1.98765,-3.01235,-0.493827
-1,5,0,1,-5,0
0,-5,0,0,5,0
0,-4,0,0,4,0
0,-3,0,-0.192,3.256,0
0,-2,0,0.280082,1.81328,0
0,0,0,0.280082,0.186721,0
0,1,0,-0.192,-1.256,0
0,2,0,0,-2,0
0,3,0,0,-3,0
0,4,0,0,-4,0
0,5,0,0,-5,0
1,-5,0,-1.03264,4.95105,-0.0244773
1,-4,0,-2.98989,3.00506,-1.49241
1,-3,0,-2.98989,3.99494,-1.49241
1,-2,0,-1.36205,2.18072,-0.0244773
1,-1,0,-1.32,1,0
1,0,0,-1.32941,-0.131764,0
1,1,0,-1,-1,0
1,2,0,-1,-2,0
1,3,0,-1,-3,0
1,4,0,-1,-4,0
1,5,0,-1,-5,0
2,-5,0,-2,4.38759,-0.306204
2,-2,0,-2,2.61241,-0.306204
2,-1,0,-2,1,0
2,0,0,-2,0,0
2,1,0,-2,-1,0
2,2,0,-3.46447,-3.46447,0
2,4,0,-3.46447,-2.53553,0
2,5,0,-2,-5,0
3,-5,0,-2.96736,4.95105,-0.0244773
3,-4,0,-1.01011,3.00506,-1.49241
3,-3,0,-1.01011,3.99494,-1.49241
3,-2,0,-2.96736,2.04895,-0.0244773
3,-1,0,-3,1,0
3,0,0,-3,0,0
3,1,0,-3,-1,0
3,5,0,-3,-5,0
4,-5,0,-4,5,0
4,-4,0,-4,4,0
4,-3,0,-4,3,0
4,-2,0,-4,2,0
4,-1,0,-4,1,0
4,0,0,-4,0,0
4,1,0,-4,-1,0
4,2,0,-2.53553,-3.46447,0
4,4,0,-2.53553,-2.53553,0
4,5,0,-4,-5,0
5,-5,0,-5,5,0
5,-4,0,-5,4,0
5,-3,0,-5,3,0
5,-2,0,-5,2,0
5,-1,0,-5,1,0
5,0,0,-5,0,0
5,1,0,-5,-1,0
5,2,0,-5,-2,0
5,3,0,-5,-3,0
5,4,0,-5,-4,0
5,5,0,-5,-5,0
